"user_hll","post_hll","pud_hll","latitude_4","longitude_4","emoji","latlng_geom"
"\x128b7f4c1c467e18e0cdec","\x128b7ff71099e0b37c8e0e","\x128b7fe662d00841c8c5da",43.681640625,-7.91015625,"🍷","0101000020E61000000118CFA0A17F1FC0C347C49448DE4540"
"\x128b7fe7950f2740efa70e12d5eb847daf87ad190e3056ddfadd733ac4e3b31458733d","\x128b7fb22d35ec4cadea85c090badcc740dcecd6aedc6c3998442d49d14927bb7641026508042bdee1a270","\x128b7f8677ac4435b47d41cff74a449d09c59fd4c04f2789d4cd05f1da5a463eb1ae9b6e9b1e78657ea391",45.087890625,7.55859375,"❣️","0101000020E6100000AD71361D01B41E408D23D6E253894640"
"\x128b7ff876adb29c3c9c30","\x128b7f2450a866326dca52","\x128b7f0a4346b36eca2155",62.138671875,17.40234375,"📌","0101000020E61000003B71395E81623140A7E33103950C4F40"
"\x128b7fe108fb19fdde2247","\x128b7fd85a8950eb4cad5e","\x128b7f9be4b66a75ab5fe0",51.591796875,-2.98828125,"🙌🏽","0101000020E6100000B5E1B034F03307C0CDB56801DACD4940"
"\x128b7ff876adb29c3c9c30","\x128b7f2450a866326dca52","\x128b7f0a4346b36eca2155",62.138671875,17.40234375,"🎉","0101000020E61000003B71395E81623140A7E33103950C4F40"
"\x128b7ff876adb29c3c9c30","\x128b7f2450a866326dca52","\x128b7f0a4346b36eca2155",62.138671875,17.40234375,"🎈","0101000020E61000003B71395E81623140A7E33103950C4F40"
"\x128b7f34a957c8d8e3106a","\x128b7f660d5ae333d71b71","\x128b7f2757349a7a44d848",45.263671875,6.50390625,"🙌🏼","0101000020E6100000213D450E11571A40111956F146A64640"
"\x128b7f5c3d2bbb6cd350b3","\x128b7f80d8ecd316663bee","\x128b7f937df91e8482966b",50.537109375,12.48046875,"👶🏻","0101000020E6100000CAC4AD8218C82840AFFECF61BE3D4940"
"\x128b7f384424f94053005c","\x128b7fe228be09f9683be1","\x128b7fd5344ac49ae7c0c1",51.591796875,0.17578125,"💜","0101000020E610000029CB10C7BAB8CD3FAE47E17A14CE4940"
"\x128b7f1f5ff2af648a98d2","\x128b7feb42f99cbfdc59af","\x128b7fe3e13d154ce2a094",49.130859375,6.85546875,"🤣","0101000020E6100000CF61BEBC00331B40B91D1A16A3934840"
