,Occurrence number,Emoji description,Typicality
🖤,1178,:black_heart:,0.6362081858785772
🤔,1170,:thinking_face:,0.3224389372680354
😎,1470,:smiling_face_with_sunglasses:,0.1249851897447712
😉,1568,:winking_face:,0.034139482350806126
🔥,1520,:fire:,-0.086412164024687
🤣,1029,:rolling_on_the_floor_laughing:,-0.222899168336101
💪,1352,:flexed_biceps:,-0.2626084513398459
👍,1425,:thumbs_up:,-0.3112907009278257
🙏,1376,:folded_hands:,-0.3228773311275594
😍,2009,:smiling_face_with_heart-eyes:,-0.5202468805986415
😂,2810,:face_with_tears_of_joy:,-0.6650422815762566
❤️,3180,:red_heart:,-0.7507031226805593
