,Occurrence number,Emoji description,Typicality
🗳️,1432,:ballot_box_with_ballot:,3.25402464896404
💬,1106,:speech_balloon:,3.192003355016527
⤵️,1463,:right_arrow_curving_down:,1.6187783686756676
🏉,1043,:rugby_football:,1.3288907527869596
🤝,1265,:handshake:,0.8795858153987947
🗓️,2581,:spiral_calendar:,0.8051527647567949
🥵,1130,:hot_face:,0.766757361693589
📣,1032,:megaphone:,0.7578944935991863
▶️,2114,:play_button:,0.6933870393641209
🗣️,1036,:speaking_head:,0.623043707435115
🎨,1460,:artist_palette:,0.40187635637819846
🏀,1190,:basketball:,0.30664285419123855
🎙️,1706,:studio_microphone:,0.3042113252697382
🎬,1368,:clapper_board:,0.20927520486026188
😌,1137,:relieved_face:,0.20719226770042073
🍾,1042,:bottle_with_popping_cork:,0.05639274372766926
🌳,1116,:deciduous_tree:,0.044875976022103026
⚠️,2290,:warning:,0.03964481500734371
🌱,1252,:seedling:,0.0379127151674573
📺,1545,:television:,0.02688726874260152
🦠,1527,:microbe:,0.02192736486550709
⬇️,1203,:down_arrow:,0.00760256758641463
💦,1040,:sweat_droplets:,0.006788379841013612
😈,1145,:smiling_face_with_horns:,-0.002525442566339751
🌺,1075,:hibiscus:,-0.0048270345518984185
✈️,1102,:airplane:,-0.018588397105793044
📚,1246,:books:,-0.022608822917352955
🚨,2602,:police_car_light:,-0.055059494845436215
🎁,1699,:wrapped_gift:,-0.0659995856514069
🎵,1092,:musical_note:,-0.07348517105930688
🍷,1140,:wine_glass:,-0.07775236658695539
🎂,1090,:birthday_cake:,-0.08152928375221487
❗,1003,:red_exclamation_mark:,-0.11017227625224499
🙃,1299,:upside-down_face:,-0.1258490041573738
😇,1272,:smiling_face_with_halo:,-0.12707387710811072
🚀,1525,:rocket:,-0.14608521362555518
💗,1002,:growing_heart:,-0.14906594516093416
🌿,1410,:herb:,-0.1513199898078249
💞,1198,:revolving_hearts:,-0.19615706274772687
⚡,1725,:high_voltage:,-0.1971929428215056
⚫,1027,:black_circle:,-0.21053161259721143
🎥,1988,:movie_camera:,-0.2194341518398156
🌍,1305,:globe_showing_Europe-Africa:,-0.22840370366275312
🤞,1658,:crossed_fingers:,-0.24456959211336501
📍,2560,:round_pushpin:,-0.26588484617550184
🙎,1875,:person_pouting:,-0.2994121595233531
😄,1125,:grinning_face_with_smiling_eyes:,-0.3240742028529711
🌊,1350,:water_wave:,-0.3291289874562243
🌟,1143,:glowing_star:,-0.33666909348303997
🙂,1577,:slightly_smiling_face:,-0.33823493805433996
🥂,1302,:clinking_glasses:,-0.34192435594664267
😬,1285,:grimacing_face:,-0.3516646059973862
❄️,1616,:snowflake:,-0.3519643449682612
💫,1463,:dizzy:,-0.3536824798461551
😏,1936,:smirking_face:,-0.37451980284085185
🤷‍♂️,1316,:man_shrugging:,-0.3761552726192373
👋,2309,:waving_hand:,-0.3846790509948854
⭐,2002,:star:,-0.3901670124717637
🌸,1405,:cherry_blossom:,-0.4043235604425387
😔,1285,:pensive_face:,-0.4048925874505541
🤘,1348,:sign_of_the_horns:,-0.4076276294416688
👑,1301,:crown:,-0.4117296729268068
🤦‍♂️,1394,:man_facepalming:,-0.4120689469580449
📷,2652,:camera:,-0.45538567388687673
🤪,1853,:zany_face:,-0.458279759677816
🤍,1671,:white_heart:,-0.45901153151923924
💯,1296,:hundred_points:,-0.45932454316927634
‼️,1812,:double_exclamation_mark:,-0.46171231880428143
✊,3054,:raised_fist:,-0.4617639927681094
💔,1049,:broken_heart:,-0.4638228471517066
➡️,5235,:right_arrow:,-0.46392537648583954
☺️,1551,:smiling_face:,-0.47192799742551406
😳,1837,:flushed_face:,-0.4855670715354982
😃,1346,:grinning_face_with_big_eyes:,-0.4865328552282976
🔵,5184,:blue_circle:,-0.4901050848186063
🍀,1559,:four_leaf_clover:,-0.49040631789733197
💋,1556,:kiss_mark:,-0.5050271915837913
🏆,1929,:trophy:,-0.508541483338335
😢,2110,:crying_face:,-0.5142048704817741
🥺,2342,:pleading_face:,-0.5306542367876608
😱,3763,:face_screaming_in_fear:,-0.5342411956027078
🌞,2579,:sun_with_face:,-0.5377737438306179
🎄,1813,:Christmas_tree:,-0.5428614360102239
🌹,1882,:rose:,-0.5543257829708991
💥,1934,:collision:,-0.5561779080713525
😷,2832,:face_with_medical_mask:,-0.5593000992466414
💖,1442,:sparkling_heart:,-0.5710008426233135
😜,2429,:winking_face_with_tongue:,-0.5724076654082284
⚪,3632,:white_circle:,-0.5777054690566691
☕,1703,:hot_beverage:,-0.5836325198771273
👊,2052,:oncoming_fist:,-0.5911619886732825
✅,3152,:check_mark_button:,-0.5930019971447006
🥳,2021,:partying_face:,-0.6060147222728828
😋,2797,:face_savoring_food:,-0.6231099729550227
👀,2620,:eyes:,-0.6329544376724425
😀,2214,:grinning_face:,-0.641153029707536
🌈,1398,:rainbow:,-0.664293357642451
✌️,3312,:victory_hand:,-0.6681185931493664
🎉,2947,:party_popper:,-0.6682364208677749
👉,5301,:backhand_index_pointing_right:,-0.6729105103208818
🙄,2723,:face_with_rolling_eyes:,-0.6809965585267066
🎶,3606,:musical_notes:,-0.689072259124658
🤗,2748,:smiling_face_with_open_hands:,-0.699270302116788
📸,4745,:camera_with_flash:,-0.705478568716993
😅,4777,:grinning_face_with_sweat:,-0.7203588784371768
🤩,5228,:star-struck:,-0.7245625620291508
💕,2270,:two_hearts:,-0.7302345800936006
😘,4753,:face_blowing_a_kiss:,-0.7472761719440804
😭,9270,:loudly_crying_face:,-0.761812931993687
♥️,3121,:heart_suit:,-0.7631111186879352
🖤,2540,:black_heart:,-0.763186159514504
👇,2535,:backhand_index_pointing_down:,-0.7634209798799719
✨,6264,:sparkles:,-0.7638146304673911
🙌,2593,:raising_hands:,-0.7840879356386858
⚽,3081,:soccer_ball:,-0.7857913432029416
💜,2912,:purple_heart:,-0.7880225146565367
💚,2780,:green_heart:,-0.7901252297460376
☀️,5508,:sun:,-0.7903763230517589
💛,2154,:yellow_heart:,-0.7983127578792927
👌,5867,:OK_hand:,-0.803549184935982
🤔,5447,:thinking_face:,-0.8085990241065559
😁,6590,:beaming_face_with_smiling_eyes:,-0.8202457564613884
😎,5147,:smiling_face_with_sunglasses:,-0.8371771602342208
🥰,6920,:smiling_face_with_hearts:,-0.8418190041800905
😉,10105,:winking_face:,-0.8503255609360757
😊,5775,:smiling_face_with_smiling_eyes:,-0.8639224210049121
🔥,10132,:fire:,-0.8677734007656391
🤣,8585,:rolling_on_the_floor_laughing:,-0.8875276178306215
💪,9502,:flexed_biceps:,-0.8932748741346797
💙,5338,:blue_heart:,-0.8949190455360195
👍,11161,:thumbs_up:,-0.9003208176691894
🙏,12513,:folded_hands:,-0.901997789108133
👏,8143,:clapping_hands:,-0.9047725043762593
🔴,7617,:red_circle:,-0.9144299789793721
😍,14829,:smiling_face_with_heart-eyes:,-0.930563738972295
😂,21122,:face_with_tears_of_joy:,-0.951520457858122
❤️,23674,:red_heart:,-0.9639184356559383
