,Occurrence number,Emoji description,Typicality
💣,1061,:bomb:,1.4841128541019488
🤡,1054,:clown_face:,1.0712008731637888
💎,1047,:gem_stone:,0.8076813549888187
🎸,1406,:guitar:,0.705836854351578
📌,1275,:pushpin:,0.6418307594675311
🎼,1764,:musical_score:,0.4939617005953417
🤟,1619,:love-you_gesture:,0.37870473698822715
🎈,1073,:balloon:,0.34299646705909387
🎧,1022,:headphone:,0.27586615833076955
☎️,1773,:telephone:,0.2757425757892806
🍾,1394,:bottle_with_popping_cork:,0.24076932194522216
❣️,1414,:heart_exclamation:,0.23762134490213624
⚠️,1201,:warning:,0.2210983082188516
🌺,1157,:hibiscus:,0.1688646035186841
✈️,2192,:airplane:,0.1527014136573195
🍷,1617,:wine_glass:,0.08321131280932095
🎂,1428,:birthday_cake:,0.07877519472917786
❗,2263,:red_exclamation_mark:,0.04513302273040252
🚀,1345,:rocket:,0.002952052425261444
🔝,3724,:TOP_arrow:,-0.04156845055679423
💞,1218,:revolving_hearts:,-0.05585904283523051
⚡,1658,:high_voltage:,-0.05707571932642226
⚫,3110,:black_circle:,-0.07274244209739983
🤞,1020,:crossed_fingers:,-0.11272121042518636
📍,1630,:round_pushpin:,-0.137756703604024
😆,1342,:grinning_squinting_face:,-0.1448664879594512
🙎,1002,:person_pouting:,-0.17713567709305672
😄,1097,:grinning_face_with_smiling_eyes:,-0.20610208846000402
🌊,1895,:water_wave:,-0.2120391054472908
🌟,1289,:glowing_star:,-0.22089521724646358
🥂,1857,:clinking_glasses:,-0.2270677023210955
❄️,1408,:snowflake:,-0.23886001199442136
🤦‍♀️,1297,:woman_facepalming:,-0.23903591677556424
💫,1332,:dizzy:,-0.24087802003178482
😏,1448,:smirking_face:,-0.2653521668647628
👋,1159,:waving_hand:,-0.27728455045826755
🧡,1102,:orange_heart:,-0.2795773792556322
🌸,1604,:cherry_blossom:,-0.3003576970810872
😔,1194,:pensive_face:,-0.30102603871737343
👑,1683,:crown:,-0.3090564288926381
🤦‍♂️,1487,:man_facepalming:,-0.30945491781845885
🐶,1005,:dog_face:,-0.3478204331543187
📷,2439,:camera:,-0.36033189157607903
🤪,1288,:zany_face:,-0.36373109408461196
🤍,1757,:white_heart:,-0.36459058508063813
💯,1223,:hundred_points:,-0.364958227943658
‼️,2107,:double_exclamation_mark:,-0.3677627518985919
💔,2924,:broken_heart:,-0.37024163945450256
➡️,2089,:right_arrow:,-0.3703620636557734
😳,1186,:flushed_face:,-0.3957809729127198
😃,1271,:grinning_face_with_big_eyes:,-0.3969153188127418
🔵,2588,:blue_circle:,-0.4011110243521038
🍀,2620,:four_leaf_clover:,-0.40146483288123
💋,1450,:kiss_mark:,-0.41863754789456925
🏆,1261,:trophy:,-0.422765203468969
😢,1294,:crying_face:,-0.42941704490540517
🥺,2470,:pleading_face:,-0.4487373868889782
😱,2381,:face_screaming_in_fear:,-0.45295039240536084
🌞,1940,:sun_with_face:,-0.45709949083064577
🎄,1998,:Christmas_tree:,-0.46307515888917516
🌹,2614,:rose:,-0.476540425561443
💥,1998,:collision:,-0.47871580968698907
😷,1862,:face_with_medical_mask:,-0.4823829297524648
💖,2310,:sparkling_heart:,-0.4961258520812375
😜,2511,:winking_face_with_tongue:,-0.4977782134433352
⚪,2028,:white_circle:,-0.5040006645910773
☕,2119,:hot_beverage:,-0.5109621880124561
👊,1144,:oncoming_fist:,-0.5198058060212728
✅,1361,:check_mark_button:,-0.5219669587525939
🥳,1214,:partying_face:,-0.537250848413726
🙈,1472,:see-no-evil_monkey:,-0.5404317543372578
😋,2400,:face_savoring_food:,-0.557329803634977
👀,1064,:eyes:,-0.5688924633416735
😀,1213,:grinning_face:,-0.5785219894253086
🌈,3084,:rainbow:,-0.6057010941397919
✌️,1967,:victory_hand:,-0.6101939637608461
🎉,2829,:party_popper:,-0.6103323564364339
👉,3177,:backhand_index_pointing_right:,-0.6158222339804412
🙄,1952,:face_with_rolling_eyes:,-0.6253195734965711
🎶,4071,:musical_notes:,-0.6348047593941901
🤗,2614,:smiling_face_with_open_hands:,-0.6467827088487307
📸,3253,:camera_with_flash:,-0.6540745297985888
😅,3878,:grinning_face_with_sweat:,-0.6715519612855728
🤩,3938,:star-struck:,-0.6764893310952905
💕,2798,:two_hearts:,-0.6831513098429434
😘,4308,:face_blowing_a_kiss:,-0.703167240935554
😭,3254,:loudly_crying_face:,-0.7202411616124273
♥️,6566,:heart_suit:,-0.7217659261793411
🖤,5455,:black_heart:,-0.7218540641905615
👇,1761,:backhand_index_pointing_down:,-0.722129868721945
✨,4723,:sparkles:,-0.7225922247683446
🙌,1548,:raising_hands:,-0.7464039134232799
⚽,3901,:soccer_ball:,-0.748404623728275
💜,2954,:purple_heart:,-0.7510252107287613
💚,3238,:green_heart:,-0.7534949213466492
☀️,4758,:sun:,-0.7537898390015977
💛,3335,:yellow_heart:,-0.7631114525000714
🤔,3387,:thinking_face:,-0.7751930231544791
😁,3364,:beaming_face_with_smiling_eyes:,-0.788872507695229
😎,5024,:smiling_face_with_sunglasses:,-0.8087590191309927
🥰,4912,:smiling_face_with_hearts:,-0.8142110232265233
😉,4785,:winking_face:,-0.8242022643826944
😊,4809,:smiling_face_with_smiling_eyes:,-0.8401722404624841
🔥,5753,:fire:,-0.8446953475880417
🤣,7794,:rolling_on_the_floor_laughing:,-0.8678973495506711
💪,10032,:flexed_biceps:,-0.8746476981778953
💙,8999,:blue_heart:,-0.8765788335883901
👍,4106,:thumbs_up:,-0.8829233992688824
🙏,5568,:folded_hands:,-0.8848930594426899
👏,4836,:clapping_hands:,-0.888152057199221
🔴,4910,:red_circle:,-0.8994950906365053
😍,15087,:smiling_face_with_heart-eyes:,-0.9184447422369205
😂,18352,:face_with_tears_of_joy:,-0.9430591236178545
❤️,42782,:red_heart:,-0.9576209715641085
