,Occurrence number,Emoji description,Typicality
🚁,1373,:helicopter:,7.37069134441742
🚒,13944,:fire_engine:,0.2219370115098546
🤪,1001,:zany_face:,-0.06507060926120412
😳,1314,:flushed_face:,-0.11216449269230774
😃,1162,:grinning_face_with_big_eyes:,-0.11383129317766041
🍀,1109,:four_leaf_clover:,-0.12051631955041689
😢,1035,:crying_face:,-0.1615891180395497
🚑,19481,:ambulance:,-0.16814793087070384
😱,1156,:face_screaming_in_fear:,-0.19616886574625875
🌞,1151,:sun_with_face:,-0.20226552397802655
😷,1056,:face_with_medical_mask:,-0.23941684463379542
😜,1360,:winking_face_with_tongue:,-0.2620385743262888
☕,1680,:hot_beverage:,-0.2814110207822265
👊,1498,:oncoming_fist:,-0.29440577554713887
🥳,1190,:partying_face:,-0.320039407339854
🙈,1577,:see-no-evil_monkey:,-0.3247134098086788
😋,1227,:face_savoring_food:,-0.34954329350676994
😀,1230,:grinning_face:,-0.38068295342913133
🎉,1420,:party_popper:,-0.4274248997546427
🙄,1167,:face_with_rolling_eyes:,-0.4494470189948488
🎶,1311,:musical_notes:,-0.46338448944147853
🤗,1307,:smiling_face_with_open_hands:,-0.48098481044054187
📸,1075,:camera_with_flash:,-0.4916993647031288
😅,1751,:grinning_face_with_sweat:,-0.5173805888206215
🤩,1224,:star-struck:,-0.5246355278961221
😘,1487,:face_blowing_a_kiss:,-0.5638358750469209
♥️,1180,:heart_suit:,-0.5911646621396989
👇,2358,:backhand_index_pointing_down:,-0.5916994369439634
✨,1046,:sparkles:,-0.5923788199104201
🚓,47412,:police_car:,-0.5991831996459889
⚽,1651,:soccer_ball:,-0.630307391004736
💚,1551,:green_heart:,-0.6377870412073166
☀️,2024,:sun:,-0.6382203912907415
💛,1035,:yellow_heart:,-0.6519175095182813
👌,2392,:OK_hand:,-0.6609548117886324
🤔,3820,:thinking_face:,-0.6696700908342623
😁,2430,:beaming_face_with_smiling_eyes:,-0.6897706364186865
😎,2773,:smiling_face_with_sunglasses:,-0.7189917469392613
🥰,1872,:smiling_face_with_hearts:,-0.727002886286086
😉,4038,:winking_face:,-0.7416839510371988
😊,2869,:smiling_face_with_smiling_eyes:,-0.7651501299869781
🔥,1900,:fire:,-0.771796354169598
🤣,3754,:rolling_on_the_floor_laughing:,-0.8058892248995188
💪,4444,:flexed_biceps:,-0.8158081432540871
💙,1937,:blue_heart:,-0.818645741062156
👍,4793,:thumbs_up:,-0.8279684045948508
🙏,3631,:folded_hands:,-0.8308626104394865
👏,1464,:clapping_hands:,-0.8356513605396492
🔴,82369,:red_circle:,-0.8523187400737675
😍,3862,:smiling_face_with_heart-eyes:,-0.8801632348475614
😂,7531,:face_with_tears_of_joy:,-0.9163314467056926
❤️,8548,:red_heart:,-0.9377285313374419
