,Occurrence number,Emoji description,Typicality
🕗,1178,:eight_o’clock:,3.2144848142862457
👩‍⚕️,1024,:woman_health_worker:,2.661255981732446
🏥,1378,:hospital:,2.1756906894856267
📰,1373,:newspaper:,1.4416375956864902
⚔️,1048,:crossed_swords:,1.0089006384795778
👆,1626,:backhand_index_pointing_up:,0.9183396874919617
⛰️,1059,:mountain:,0.7735162340661574
🍊,1280,:tangerine:,0.7266391529895189
⏱️,1565,:stopwatch:,0.5864922596599479
❓,1035,:red_question_mark:,0.5475882516300488
🏟️,1534,:stadium:,0.533881496775241
📻,1559,:radio:,0.4505248669349037
📖,1303,:open_book:,0.4093479687440945
💘,1160,:heart_with_arrow:,0.3979715912978778
⏰,1516,:alarm_clock:,0.32226467806175346
🔊,1759,:speaker_high_volume:,0.30740777156667753
🆚,2361,:VS_button:,0.28109318197897726
📆,2219,:tear-off_calendar:,0.24033888521715444
🗓️,1579,:spiral_calendar:,0.1988078987192201
📣,2066,:megaphone:,0.16742352513619613
📝,1763,:memo:,0.15403605560883232
❌,1338,:cross_mark:,0.12577394812453432
▶️,1681,:play_button:,0.12458391223856763
✍️,1299,:writing_hand:,0.11615627500656399
🌴,1895,:palm_tree:,0.09886301709366903
🗣️,2117,:speaking_head:,0.07786867373625633
📲,2200,:mobile_phone_with_arrow:,0.07151002400630137
👈,1225,:backhand_index_pointing_left:,0.070124251594165
📢,2673,:loudspeaker:,0.05466572253842165
🎭,1608,:performing_arts:,0.013748253041627332
🙋‍♂️,1513,:man_raising_hand:,-0.0012077968288902099
🏠,1861,:house:,-0.006934969083371768
🏖️,1454,:beach_with_umbrella:,-0.01871199540864475
🎸,1044,:guitar:,-0.03548832186973255
🏳️‍🌈,1642,:rainbow_flag:,-0.0363619737520969
🙋‍♀️,1350,:woman_raising_hand:,-0.04415419498860293
🤮,1190,:face_vomiting:,-0.05542939284071609
🤙,1048,:call_me_hand:,-0.05853417612594255
🦁,1156,:lion:,-0.059604158751888424
🎨,1077,:artist_palette:,-0.06900929280612635
📌,2383,:pushpin:,-0.07167855063029226
💨,1300,:dashing_away:,-0.0974433805788637
🎊,1263,:confetti_ball:,-0.10439029863574319
🏡,1806,:house_with_garden:,-0.12181666664577881
🏀,2726,:basketball:,-0.13225417538524875
🎙️,2025,:studio_microphone:,-0.13386896175345486
🕕,6505,:six_o’clock:,-0.13817906876012087
💻,1088,:laptop:,-0.14264394809534936
🏃‍♂️,1437,:man_running:,-0.1427426422419944
🎼,1644,:musical_score:,-0.1552864488607311
🌅,1335,:sunrise:,-0.18092887518216064
🎬,1447,:clapper_board:,-0.19691635211433253
🌼,1113,:blossom:,-0.1970029472887864
🤤,2092,:drooling_face:,-0.20036565372664072
🤟,2164,:love-you_gesture:,-0.22045486581767032
🤯,1115,:exploding_head:,-0.23893769373083337
🤓,1137,:nerd_face:,-0.26932940866917243
🎧,1399,:headphone:,-0.2786016984555076
☎️,1170,:telephone:,-0.27867157430804
✔️,1650,:check_mark:,-0.29130237277847404
🍾,1072,:bottle_with_popping_cork:,-0.2984460982718987
🌳,1402,:deciduous_tree:,-0.30609442165078316
⚠️,2244,:warning:,-0.30956845291639207
🌱,1341,:seedling:,-0.310718746127009
📺,2216,:television:,-0.31804078142456094
🦠,2828,:microbe:,-0.32133466993130455
🤷‍♀️,1010,:woman_shrugging:,-0.3282523302504244
🎤,1591,:microphone:,-0.3282523302504244
⬇️,2130,:down_arrow:,-0.3308478150019054
💦,1436,:sweat_droplets:,-0.33138851976622413
😈,1555,:smiling_face_with_horns:,-0.3375738599142684
🌺,1183,:hibiscus:,-0.3391023547351975
✈️,1093,:airplane:,-0.34824132094838134
📚,1806,:books:,-0.35091129897639717
💃,2342,:woman_dancing:,-0.36975332880468903
🚨,2312,:police_car_light:,-0.37246189712279476
🦋,1767,:butterfly:,-0.37561879208151294
🎁,1999,:wrapped_gift:,-0.37972724747261416
🎵,2148,:musical_note:,-0.38469844940561887
🍷,1939,:wine_glass:,-0.38753230801514965
🎂,1823,:birthday_cake:,-0.39004057114884144
❗,1108,:red_exclamation_mark:,-0.40906247684147
🙃,1273,:upside-down_face:,-0.41947344349518284
🤭,1707,:face_with_hand_over_mouth:,-0.42507568386908096
🚀,1541,:rocket:,-0.4329123768775666
💗,1045,:growing_heart:,-0.4348918905111705
🌿,1852,:herb:,-0.43638880898783056
🍻,1560,:clinking_beer_mugs:,-0.456978659264708
🔝,5761,:TOP_arrow:,-0.4580850919193862
💞,1634,:revolving_hearts:,-0.46616525685707555
⚡,2266,:high_voltage:,-0.46685318822710514
⚫,1966,:black_circle:,-0.47571144277359934
🎥,2519,:movie_camera:,-0.48162364841683175
🌍,2449,:globe_showing_Europe-Africa:,-0.48758035733545757
🤞,1092,:crossed_fingers:,-0.49831617711911913
📍,3997,:round_pushpin:,-0.512471707571601
🙎,1582,:person_pouting:,-0.5347373068322007
😄,1567,:grinning_face_with_smiling_eyes:,-0.551115451064268
🌊,2519,:water_wave:,-0.5544723501738681
🌟,1865,:glowing_star:,-0.55947975942953
🙂,1054,:slightly_smiling_face:,-0.5605196419684983
🥂,1975,:clinking_glasses:,-0.5629697965467256
😬,1082,:grimacing_face:,-0.5694383286977455
❄️,2115,:snowflake:,-0.569637386335888
🤦‍♀️,2654,:woman_facepalming:,-0.569736846149538
💫,2617,:dizzy:,-0.5707784053692337
😏,1798,:smirking_face:,-0.5846165402251342
🤷‍♂️,1316,:man_shrugging:,-0.5857026610935302
👋,1902,:waving_hand:,-0.5913633303970701
🧡,2318,:orange_heart:,-0.592659738166295
⭐,4402,:star:,-0.5950079036956822
🌸,1963,:cherry_blossom:,-0.6044093138462792
😔,1399,:pensive_face:,-0.6047872065571409
🤘,3689,:sign_of_the_horns:,-0.6066035569548972
👑,2848,:crown:,-0.6093277375488514
🤦‍♂️,2845,:man_facepalming:,-0.6095530505508417
🐶,2332,:dog_face:,-0.6312456218448232
📷,4669,:camera:,-0.6383198316248764
🤪,2511,:zany_face:,-0.6402418035341162
🤍,3345,:white_heart:,-0.6407277756250581
💯,1902,:hundred_points:,-0.6409356476931632
‼️,5203,:double_exclamation_mark:,-0.6425213773596489
✊,3771,:raised_fist:,-0.6425556942092832
💔,2634,:broken_heart:,-0.6439229861889741
➡️,5065,:right_arrow:,-0.643991076257587
☺️,2233,:smiling_face:,-0.6493056431907795
😳,1505,:flushed_face:,-0.6583633972454447
😃,2787,:grinning_face_with_big_eyes:,-0.6590047773779113
🔵,3970,:blue_circle:,-0.6613771068186706
🍀,2490,:four_leaf_clover:,-0.6615771566987596
💋,2246,:kiss_mark:,-0.6712869270870097
🏆,4126,:trophy:,-0.6736207798201431
😢,2188,:crying_face:,-0.6773818538819134
🥺,3328,:pleading_face:,-0.68830593224327
😱,2782,:face_screaming_in_fear:,-0.6906880434107079
🌞,3018,:sun_with_face:,-0.6930340203279556
🎄,3181,:Christmas_tree:,-0.6964127734674359
🌹,2909,:rose:,-0.7040262840569217
💥,3614,:collision:,-0.705256286438542
😷,4366,:face_with_medical_mask:,-0.7073297438850936
💖,3403,:sparkling_heart:,-0.7151002461133251
😜,4455,:winking_face_with_tongue:,-0.7160345217600077
⚪,3909,:white_circle:,-0.7195528106182196
☕,2255,:hot_beverage:,-0.7234889845966214
👊,1348,:oncoming_fist:,-0.7284893296323539
✅,4619,:check_mark_button:,-0.7297112853207101
🥳,2658,:partying_face:,-0.7383530789528565
🙈,1907,:see-no-evil_monkey:,-0.7401516219392235
😋,4007,:face_savoring_food:,-0.7497060912565524
👀,2361,:eyes:,-0.75624383271108
😀,2450,:grinning_face:,-0.7616885446944287
🌈,3372,:rainbow:,-0.7770561127191031
✌️,3800,:victory_hand:,-0.7795964642226886
🎉,4019,:party_popper:,-0.7796747139987042
👉,10708,:backhand_index_pointing_right:,-0.7827787922047721
🙄,2575,:face_with_rolling_eyes:,-0.7881487634602925
🎶,5420,:musical_notes:,-0.7935118628353307
🤗,5266,:smiling_face_with_open_hands:,-0.8002844167870683
📸,8314,:camera_with_flash:,-0.8044073470913538
😅,4273,:grinning_face_with_sweat:,-0.8142894098043941
🤩,5115,:star-struck:,-0.8170810899281834
💕,3309,:two_hearts:,-0.8208478958130342
😘,8481,:face_blowing_a_kiss:,-0.8321652731098286
😭,5117,:loudly_crying_face:,-0.841819183354706
♥️,6581,:heart_suit:,-0.8426813134156411
🖤,5233,:black_heart:,-0.8427311482758111
👇,10278,:backhand_index_pointing_down:,-0.842887093254208
✨,8038,:sparkles:,-0.8431485179063187
🙌,6938,:raising_hands:,-0.8566120866673638
⚽,9353,:soccer_ball:,-0.8577433252431986
💜,9677,:purple_heart:,-0.859225053556828
💚,9462,:green_heart:,-0.8606214735758226
☀️,5968,:sun:,-0.8607882254674581
💛,5546,:yellow_heart:,-0.866058837985507
