,Occurrence number,Emoji description,Typicality
👄,2029,:mouth:,3.235071617171973
🔞,1614,:no_one_under_eighteen:,3.06647462490098
🎀,1112,:ribbon:,2.9758873076755243
🥀,1181,:wilted_flower:,2.5093992333307082
📞,1803,:telephone_receiver:,1.8148179639262596
🍁,1037,:maple_leaf:,1.805094931235668
🙋‍♂️,1300,:man_raising_hand:,1.1783127215470113
🧿,2955,:nazar_amulet:,1.0066097914324827
☝️,1356,:index_pointing_up:,0.983815763021194
💐,1467,:bouquet:,0.7859577360737318
🌼,1224,:blossom:,0.7512939025074958
🎈,1499,:balloon:,0.6561129450244231
☎️,3623,:telephone:,0.5731789666654897
✔️,1919,:check_mark:,0.5456318663736692
❣️,1813,:heart_exclamation:,0.526169860162988
🦅,2620,:eagle:,0.5244508777787232
🤲,3844,:palms_up_together:,0.446775311941432
🌺,1572,:hibiscus:,0.44138264570948843
💃,1083,:woman_dancing:,0.3745344999876875
🦋,2241,:butterfly:,0.36174223625844865
❗,1370,:red_exclamation_mark:,0.28880333691910137
😇,1326,:smiling_face_with_halo:,0.26432349773116276
🤭,1031,:face_with_hand_over_mouth:,0.25387938329765425
🌿,1349,:herb:,0.2292060585676619
💞,2177,:revolving_hearts:,0.164265208018245
📍,1121,:round_pushpin:,0.06327329963041026
🙎,1210,:person_pouting:,0.014713210786862297
😄,1435,:grinning_face_with_smiling_eyes:,-0.021006651485562584
🌟,1338,:glowing_star:,-0.03924876356968256
🙂,1303,:slightly_smiling_face:,-0.04151669213015539
🤦‍♀️,1541,:woman_facepalming:,-0.061618924667522654
💫,2141,:dizzy:,-0.06389050997956677
😏,1899,:smirking_face:,-0.09407074677295205
🧡,1308,:orange_heart:,-0.11161253408519224
⭐,1238,:star:,-0.11673375832855576
🌸,2467,:cherry_blossom:,-0.13723773429723685
😔,2887,:pensive_face:,-0.13806189821925832
🤘,1552,:sign_of_the_horns:,-0.14202326191999382
👑,1451,:crown:,-0.1479645550385838
🤪,1199,:zany_face:,-0.21538649024857412
🤍,1223,:white_heart:,-0.21644636955545557
💯,2467,:hundred_points:,-0.21689972749013903
☺️,2216,:smiling_face:,-0.23515424290772236
😃,1208,:grinning_face_with_big_eyes:,-0.2563075391797007
🍀,2391,:four_leaf_clover:,-0.26191776178802467
💋,6356,:kiss_mark:,-0.28309425504945857
🏆,1207,:trophy:,-0.2881842638447422
😢,1308,:crying_face:,-0.2963869665184545
🌞,1474,:sun_with_face:,-0.3305235098163843
🌹,3519,:rose:,-0.3544970529051104
💥,2596,:collision:,-0.35717962273986714
😷,1340,:face_with_medical_mask:,-0.3617017232519349
💖,1901,:sparkling_heart:,-0.37864877570471267
☕,2755,:hot_beverage:,-0.3969441685781035
👊,1592,:oncoming_fist:,-0.4078496553939581
✅,1967,:check_mark_button:,-0.4105146758182884
🥳,1265,:partying_face:,-0.4293619685245409
🙈,2067,:see-no-evil_monkey:,-0.43328449520728163
😋,2110,:face_savoring_food:,-0.4541222850853858
😀,2084,:grinning_face:,-0.4802553793127935
🌈,1041,:rainbow:,-0.5137712285766394
✌️,3144,:victory_hand:,-0.5193116002173992
🎉,1149,:party_popper:,-0.5194822588208723
👉,2130,:backhand_index_pointing_right:,-0.5262520884445785
🙄,2240,:face_with_rolling_eyes:,-0.5379637104046849
🎶,1295,:musical_notes:,-0.549660345158616
🤗,3590,:smiling_face_with_open_hands:,-0.564430925449085
📸,1355,:camera_with_flash:,-0.5734228173594969
😅,2683,:grinning_face_with_sweat:,-0.5949750710260719
🤩,1642,:star-struck:,-0.6010635770324593
💕,4189,:two_hearts:,-0.6092787805077339
😘,3689,:face_blowing_a_kiss:,-0.6339613790120908
😭,1134,:loudly_crying_face:,-0.6550160442691112
♥️,3944,:heart_suit:,-0.65689630412036
🖤,3277,:black_heart:,-0.6570049913022783
👇,2092,:backhand_index_pointing_down:,-0.657345099013597
✨,1866,:sparkles:,-0.6579152522883331
💜,2844,:purple_heart:,-0.6929773222711811
💚,2693,:green_heart:,-0.6960228401299922
☀️,2488,:sun:,-0.696386517144829
💛,7821,:yellow_heart:,-0.7078814429782098
👌,1747,:OK_hand:,-0.715465747764501
🤔,2542,:thinking_face:,-0.7227798035083804
😁,3695,:beaming_face_with_smiling_eyes:,-0.7396486278015723
😎,4962,:smiling_face_with_sunglasses:,-0.7641716327594814
🥰,5066,:smiling_face_with_hearts:,-0.7708947588289837
😉,4655,:winking_face:,-0.7832154344386744
😊,6768,:smiling_face_with_smiling_eyes:,-0.8029087730037313
🔥,6390,:fire:,-0.808486431952285
🤣,3551,:rolling_on_the_floor_laughing:,-0.8370979262810351
💪,3586,:flexed_biceps:,-0.8454221028661415
💙,8801,:blue_heart:,-0.8478034779705145
👍,5745,:thumbs_up:,-0.855627264266118
🙏,12964,:folded_hands:,-0.8580561460920582
👏,7129,:clapping_hands:,-0.8620749715355946
🔴,1415,:red_circle:,-0.8760626066277909
😍,8395,:smiling_face_with_heart-eyes:,-0.8994303250759805
😂,11447,:face_with_tears_of_joy:,-0.9297834917734321
❤️,19820,:red_heart:,-0.9477404004316343
