,Occurrence number,Emoji description,Typicality
🤱,1004,:breast-feeding:,1.831310779146561
🧁,1040,:cupcake:,1.136168168495882
🏌️‍♂️,1113,:man_golfing:,1.1285389964655395
👐,1163,:open_hands:,0.943448648946797
🍞,1370,:bread:,0.5615482594157669
⬆️,1127,:up_arrow:,0.44541047456026944
🐐,1153,:goat:,0.40453476593169946
🍔,1052,:hamburger:,0.38120722829745324
🥐,1252,:croissant:,0.3748348766098064
🧀,1354,:cheese_wedge:,0.3669516491063099
🦆,1263,:duck:,0.3643439580549816
🤎,1063,:brown_heart:,0.35761029387323706
🏏,2364,:cricket_game:,0.3079537359407851
🦊,1615,:fox:,0.29892681222742706
🏈,1103,:american_football:,0.2739385515005724
⚒️,1979,:hammer_and_pick:,0.2560398714654396
💁‍♀️,1233,:woman_tipping_hand:,0.23223484288838964
😐,1070,:neutral_face:,0.21838007293427827
👸,1111,:princess:,0.20442758978178066
🎩,1047,:top_hat:,0.18565832694366927
💭,1241,:thought_balloon:,0.16632273778933676
🌡️,1521,:thermometer:,0.14760767460272997
🐷,1081,:pig_face:,0.13883615097519314
💉,1057,:syringe:,0.13342171602602432
🦄,1014,:unicorn:,0.10334634805989097
⛳,1956,:flag_in_hole:,0.09590729821088163
🍽️,1011,:fork_and_knife_with_plate:,0.06585559286500949
🐯,1944,:tiger_face:,0.06048206229599836
🖕,1024,:middle_finger:,0.029938224096228837
💅,1318,:nail_polish:,0.009013971236485972
🌬️,1033,:wind_face:,0.008444871421913837
🍰,1712,:shortcake:,0.0030702704241532433
🐟,1053,:fish:,-0.0005741995354649625
🥃,1757,:tumbler_glass:,-0.02028890025695702
⚔️,1095,:crossed_swords:,-0.03535324681356719
🎾,1139,:tennis:,-0.04616017229605056
🎹,1089,:musical_keyboard:,-0.05172487030970381
🟢,1071,:green_circle:,-0.06973321694534172
💰,1294,:money_bag:,-0.0833259384613928
🙊,1407,:speak-no-evil_monkey:,-0.09971160270339709
🍑,1168,:peach:,-0.1089096650729862
🏴󠁧󠁢󠁥󠁮󠁧󠁿,2823,:England:,-0.1135484595780599
🍫,1739,:chocolate_bar:,-0.1198755810824252
💧,1305,:droplet:,-0.12354276616124835
🍕,1575,:pizza:,-0.13057488109357976
👶,2010,:baby:,-0.13057488109357976
🍓,1115,:strawberry:,-0.13436322583827
😕,1435,:confused_face:,-0.14101717173622233
😪,1373,:sleepy_face:,-0.15721293564409455
💤,1333,:zzz:,-0.16293410251355175
🍊,1726,:tangerine:,-0.17089137165265325
🤢,1788,:nauseated_face:,-0.17604942072301696
🐺,1592,:wolf:,-0.1800170800132753
👎,1040,:thumbs_down:,-0.1803929603341493
🍸,2198,:cocktail_glass:,-0.1913284680999306
🐴,1946,:horse_face:,-0.2306485554943833
☹️,2188,:frowning_face:,-0.23770080706414265
⏱️,1212,:stopwatch:,-0.2381880029692998
🥶,1802,:cold_face:,-0.2383502632455577
😫,2571,:tired_face:,-0.24732782276108053
🍹,1840,:tropical_drink:,-0.2474862133707688
🏉,2786,:rugby_football:,-0.25733218814909514
😲,1659,:astonished_face:,-0.274067090121375
🚴‍♂️,1134,:man_biking:,-0.27436170575038415
💩,1874,:pile_of_poo:,-0.2856680954730111
🍒,1077,:cherries:,-0.2927322954782226
📻,1183,:radio:,-0.3034776949625815
😮,2664,:face_with_open_mouth:,-0.30429075601904537
💡,1209,:light_bulb:,-0.3113911969839964
☠️,1381,:skull_and_crossbones:,-0.32029167191368435
📖,1575,:open_book:,-0.32325028121458993
💘,1041,:heart_with_arrow:,-0.32871306287551966
😤,1799,:face_with_steam_from_nose:,-0.3432606953053982
🚲,1553,:bicycle:,-0.34494495071219883
💀,1760,:skull:,-0.3476932663148291
🤫,1319,:shushing_face:,-0.34923648515703243
🥇,1390,:1st_place_medal:,-0.35053659388628644
📱,1055,:mobile_phone:,-0.35626543401222205
🕺,2063,:man_dancing:,-0.3628037216567878
⏰,1416,:alarm_clock:,-0.36506649253158613
🏁,1386,:chequered_flag:,-0.36809586250890497
🔊,1504,:speaker_high_volume:,-0.37220057688516384
🍂,1324,:fallen_leaf:,-0.372751181536203
